entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,CostOfProduction,DateOfGeneralMeeting,DistributionCosts,EmailOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,OtherOperatingExpenses,OtherOperatingIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherReserves,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
35233865,2016-05-01,2017-04-30,c1,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,0.0,Regnskabsklasse B,0.0,2018-10-04,0.0,mail@projektpro.dk,0.0,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,0.0,0.0,0.0,0.0,0.0,2016-05-01,2017-04-30,0.0,0.0,0.0,2018-04-30,2017-05-01,0.0,false,false,0.0,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2016-05-01,2017-04-30,c3,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2016-05-01,2017-04-30,c5,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2016-05-01,2017-04-30,c7,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2017-04-30,2017-04-30,c9,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,83615.0,83615.0,0.0,80000.0,83615.0,83615.0,0.0,0.0,0.0,0.0,0.0,83615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35233865,2017-05-01,2018-04-30,c0,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,0.0,Regnskabsklasse B,0.0,2018-10-04,0.0,mail@projektpro.dk,0.0,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,0.0,0.0,0.0,0.0,0.0,2016-05-01,2017-04-30,0.0,0.0,0.0,2018-04-30,2017-05-01,0.0,false,false,0.0,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2017-05-01,2018-04-30,c2,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2017-05-01,2018-04-30,c4,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2017-05-01,2018-04-30,c6,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,0.0,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35233865,2018-04-30,2018-04-30,c8,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2M3LzcxLzFhLzA0MTUtNDJhZi1hM2FmLTNjNDVkMDcyYTFlMA.xhtml,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzk2LzZkLzYwLzBlMTctNDc3Mi1iNzE1LTVjYWI3YWRiODAxOA.pdf,http://regnskaber.virk.dk/56833253/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzc4LzQ4LzE4LzQ5NWEtNGI5Zi1iM2M0LTM1OGVkYTI1NzdmMQ.xml,true,Danmark,DK,Helsinge,3200.0,3.0,Rundinsvej,Helsinge,3200.0,3.0,MÃ¸llebakken,3200.0,MÃ¸llebakken 3,,Regnskabsklasse B,,2018-10-04,,mail@projektpro.dk,,35233865.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Henrik Kruckow,Handelsbanken,PROJEKTPRO ApS,Henrik Kruckow,,,,,,2016-05-01,2017-04-30,,,,2018-04-30,2017-05-01,,false,false,,48783882.0,false,true,Ingen bistand,urn:ofk:oid:26174995,indberetninger-20180424,2.5949414,35233865.0,AWY-utcL5OzuYdPkE8kg,2018-10-04T10:59:22.901Z,2018-10-04T10:58:43.498Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AY-88-QE,2018-10-04T10:58:43.652Z,83615.0,83615.0,0.0,80000.0,83615.0,83615.0,0.0,0.0,0.0,0.0,0.0,83615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
