entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,ImpairmentOfFinancialAssets,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
34044236,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,1519155.0,1501143.0,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,85205.0,132343.0,-18012.0,2018-12-31,2018-01-01,false,47138.0,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,
34044236,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,103400.0,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,
34044236,2017-01-01,2017-12-31,c9,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,-18195.0,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,
34044236,2017-12-31,2017-12-31,c11,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,1315364.0,244344.0,80000.0,1315364.0,394962.0,0.0,1315364.0,873264.0,0.0,873264.0,0.0,103400.0,47138.0,47138.0,211562.0,873264.0,1071020.0,585409.0,0.0,19307.0,466304.0,,
34044236,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,322589.0,333140.0,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,102193.0,99872.0,10551.0,2018-12-31,2018-01-01,false,-2321.0,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,
34044236,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,Kristian Hannibal Terp,
34044236,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,Malene Ãstergaard Terp,
34044236,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,Kristian Hannibal Terp
34044236,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,Malene Ãstergaard Terp
34044236,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzg1LzgyLzJiLzNmLzVjM2EtNGJmZC04MzFmLTBjZmRhYTIyMzMxZA.xhtml,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzcxL2Q4L2ZmLzMxMmQtNDQwZS05ZTRjLTBiZjFkYTBiNDZjMg.pdf,http://regnskaber.virk.dk/63244043/ZG9rdW1lbnRsYWdlcjovLzAzLzM0Lzc1LzdhL2Y5LzJjMjYtNDE0Ny05NjVmLWUxMDgyNTFiNjVmNQ.xml,true,Risskov,8240.0,3.0,Hvenevej,8240 Risskov,Hvenevej 3,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-04-24,2019-04-24,0.0,kt@changeadvisor.dk,,,34044236.0,-178755.0,Ãrsrapport,Kristian Terp,KONSULENTHUSET TERP ApS,Kristian Terp,28400.0,89321.0,Risskov,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,false,,22813208.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27023485,indberetninger-20180424,2.59278,34044236.0,AWpQSt1wRYGX6_YTHGlt,2019-04-24T17:00:51.646Z,2019-04-24T17:00:44.070Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AY-84-KW,2019-04-24T17:00:44.278Z,,,,,,,,,,,,,,,,,,,,,,,
